2026-04-07 15:06:03.474 [info] Started local extension host with pid 27156.
2026-04-07 15:06:04.802 [error] [tht13.python]: 'configuration.jsonValidation.url' must be an absolute URL or start with './'  to reference schemas located in the extension.
2026-04-07 15:06:04.816 [error] [cweijan.vscode-postgresql-client2]: Failed to register tool 'dbclient-get-databases': Error: Tool "dbclient-get-databases" is already registered.
2026-04-07 15:06:04.817 [error] [cweijan.vscode-postgresql-client2]: Failed to register tool 'dbclient-get-tables': Error: Tool "dbclient-get-tables" is already registered.
2026-04-07 15:06:04.818 [error] [cweijan.vscode-postgresql-client2]: Failed to register tool 'dbclient-execute-query': Error: Tool "dbclient-execute-query" is already registered.
2026-04-07 15:06:04.852 [error] [wscats.html-snippets]: Unknown language in `contributes.html-snippets.language`. Provided value: pug
2026-04-07 15:06:04.852 [error] [wscats.html-snippets]: Unknown language in `contributes.html-snippets.language`. Provided value: sass
2026-04-07 15:06:04.852 [error] [wscats.html-snippets]: Unknown language in `contributes.html-snippets.language`. Provided value: stylus
2026-04-07 15:06:04.857 [error] [cweijan.vscode-postgresql-client2]: This authentication id 'dbclient.auth' has already been registered
2026-04-07 15:06:04.860 [info] [cweijan.vscode-postgresql-client2]: Command `mysql2.refresh` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.860 [info] [cweijan.vscode-postgresql-client2]: Command `mysql2.refresh.all` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.861 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.name.copy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.861 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.console.open` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.861 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.server.info` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.861 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.node.create` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.861 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.runSQL` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.861 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.runSQLInNew` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.861 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.runSQLAsJSON` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.862 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.runSQLWithoutParse` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.862 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.runAllQuery` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.862 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.runAllQueryWithoutParse` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.862 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.notebook.sql` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.862 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.node.filterChildren` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.862 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.host.copy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.862 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.add` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.863 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.add.viaGroup` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.863 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.edit` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.863 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.copy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.863 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.disable` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.863 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.863 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.terminal` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.864 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.startRdp` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.864 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.selectDb` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.864 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.copyKey` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.864 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.connection.quickConnect` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.864 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.db.active` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.864 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.db.truncate` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.864 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.database.add` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.865 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.db.drop` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.865 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.db.active.switch` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.865 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.document.generate` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.865 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.schema` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.865 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.package.source` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.865 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.package.drop` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.865 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.query.switch` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.866 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.query.link` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.866 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.query.add` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.866 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.query.book.add` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.866 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.query.rename` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.866 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.query.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.866 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.new` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.866 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.delete.procedure` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.867 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.delete.function` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.867 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.delete.event` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.867 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.delete.trigger` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.867 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.struct.diff` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.868 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.data.dump` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.868 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.struct.dump` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.868 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.sql.import` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.868 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mock.run` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.868 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.mock.table` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.869 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.table.select` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.869 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.table.insert` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.869 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.table.update` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.869 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.table.delete` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.870 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.table` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.870 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.copy` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.870 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.truncate` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.870 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.drop` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.870 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.sort` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.870 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.changeTableName` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.870 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.design` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.871 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.source` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.871 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.show` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.871 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.table.fullTextSearch` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.871 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.column.add` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.871 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.column.up` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.871 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.column.down` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.871 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.column.update` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.872 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.column.drop` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.872 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.column.createIndex` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.872 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.index.modify` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.872 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.index.drop` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.872 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.view` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.872 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.delete.view` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.872 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.view.source` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.873 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.user.grant` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.873 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.change.user` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.873 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.template.user` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.873 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.delete.user` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.873 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.s3.selectBuckets` already registered by Database Client (cweijan.vscode-database-client2)
2026-04-07 15:06:04.873 [info] [cweijan.vscode-postgresql-client2]: Command `mysql.file.delete` already registered by Database Client (cweijan.vscode-database-client2)
